resume_text,category
"Mechanical Design Engineer with 3 years of experience. Education: Diploma in Engineering. Skills: CATIA, finite element analysis, SolidWorks, thermodynamics, CNC machining, AutoCAD. Experience: performed stress analysis; reduced material waste; supervised production lines. Looking for opportunities as a mechanical design engineer to apply skills in CATIA, finite element analysis, SolidWorks.",Mechanical Engineer
"Frontend Developer with 0 years of experience. Education: B.E. in Information Technology. Skills: Git, HTML, REST APIs, React, CSS, MongoDB. Experience: fixed cross-browser bugs; built responsive websites; integrated third-party APIs. Looking for opportunities as a frontend developer to apply skills in Git, HTML, REST APIs.",Web Developer
"Mechanical Design Engineer with 0 years of experience. Education: M.Tech in Data Science. Skills: CNC machining, manufacturing processes, CATIA, quality control, finite element analysis, GD&T. Experience: performed stress analysis; created CAD models; reduced material waste. Looking for opportunities as a mechanical design engineer to apply skills in CNC machining, manufacturing processes, CATIA.",Mechanical Engineer
"SDE Intern with 1 years of experience. Education: MBA. Skills: OOP, C++, Python, Kubernetes, Algorithms, multithreading. Experience: built microservices; debugged production issues; reviewed pull requests. Looking for opportunities as a sde intern to apply skills in OOP, C++, Python.",Software Engineer
"Data Scientist with 2 years of experience. Education: MBA. Skills: NumPy, machine learning, data visualization, Tableau, scikit-learn, Power BI. Experience: built predictive models; analyzed large datasets; designed dashboards. Looking for opportunities as a data scientist to apply skills in NumPy, machine learning, data visualization.",Data Scientist
"DevOps Engineer with 3 years of experience. Education: B.Tech in Computer Engineering. Skills: Ansible, CI/CD, AWS, Terraform, monitoring, Docker. Experience: automated infrastructure with Terraform; managed Kubernetes clusters; reduced deployment time. Looking for opportunities as a devops engineer to apply skills in Ansible, CI/CD, AWS.",DevOps Engineer
"Sales Executive with 5 years of experience. Education: B.Sc in Computer Science. Skills: Salesforce, target achievement, cold calling, CRM, negotiation, lead generation. Experience: negotiated contracts; built client relationships; generated new leads. Looking for opportunities as a sales executive to apply skills in Salesforce, target achievement, cold calling.",Sales
"ML Intern with 2 years of experience. Education: MBA. Skills: NLP, deep learning, feature engineering, statistics, scikit-learn, SQL. Experience: built predictive models; analyzed large datasets; cleaned and preprocessed data. Looking for opportunities as a ml intern to apply skills in NLP, deep learning, feature engineering.",Data Scientist
"HR Generalist with 2 years of experience. Education: B.Tech in Mechanical Engineering. Skills: labor law, conflict resolution, onboarding, payroll, HRIS, training and development. Experience: resolved workplace conflicts; managed end-to-end recruitment; handled payroll processing. Looking for opportunities as a hr generalist to apply skills in labor law, conflict resolution, onboarding.",HR
"Marketing Intern with 2 years of experience. Education: B.Sc in Computer Science. Skills: Google Ads, Google Analytics, social media marketing, SEO, content marketing, copywriting. Experience: ran paid ad campaigns; analyzed campaign performance; wrote marketing copy. Looking for opportunities as a marketing intern to apply skills in Google Ads, Google Analytics, social media marketing.",Marketing
"Mechanical Design Engineer with 1 years of experience. Education: B.E. in Information Technology. Skills: thermodynamics, GD&T, finite element analysis, CATIA, manufacturing processes, quality control. Experience: designed mechanical components; created CAD models; supervised production lines. Looking for opportunities as a mechanical design engineer to apply skills in thermodynamics, GD&T, finite element analysis.",Mechanical Engineer
"DevOps Engineer with 0 years of experience. Education: M.Tech in Data Science. Skills: Ansible, Jenkins, Kubernetes, CI/CD, AWS, shell scripting. Experience: reduced deployment time; built CI/CD pipelines; automated infrastructure with Terraform. Looking for opportunities as a devops engineer to apply skills in Ansible, Jenkins, Kubernetes.",DevOps Engineer
"Mechanical Intern with 3 years of experience. Education: Diploma in Engineering. Skills: CATIA, GD&T, manufacturing processes, SolidWorks, quality control, thermodynamics. Experience: supervised production lines; created CAD models; reduced material waste. Looking for opportunities as a mechanical intern to apply skills in CATIA, GD&T, manufacturing processes.",Mechanical Engineer
"DevOps Intern with 3 years of experience. Education: Diploma in Engineering. Skills: shell scripting, Docker, Linux, Terraform, monitoring, Ansible. Experience: set up monitoring and alerting; managed Kubernetes clusters; reduced deployment time. Looking for opportunities as a devops intern to apply skills in shell scripting, Docker, Linux.",DevOps Engineer
"Web Developer Intern with 3 years of experience. Education: MBA. Skills: REST APIs, Node.js, responsive design, Redux, HTML, Git. Experience: developed REST APIs; built responsive websites; fixed cross-browser bugs. Looking for opportunities as a web developer intern to apply skills in REST APIs, Node.js, responsive design.",Web Developer
"Software Engineer with 4 years of experience. Education: B.E. in Information Technology. Skills: system design, Java, Git, OOP, Kubernetes, Data Structures. Experience: built microservices; wrote unit tests; reviewed pull requests. Looking for opportunities as a software engineer to apply skills in system design, Java, Git.",Software Engineer
"Mechanical Design Engineer with 3 years of experience. Education: B.Tech in Computer Engineering. Skills: finite element analysis, manufacturing processes, CNC machining, AutoCAD, CATIA, thermodynamics. Experience: designed mechanical components; performed stress analysis; supervised production lines. Looking for opportunities as a mechanical design engineer to apply skills in finite element analysis, manufacturing processes, CNC machining.",Mechanical Engineer
"Mechanical Intern with 1 years of experience. Education: B.Tech in Mechanical Engineering. Skills: finite element analysis, CATIA, SolidWorks, manufacturing processes, thermodynamics, CNC machining. Experience: performed stress analysis; designed mechanical components; supervised production lines. Looking for opportunities as a mechanical intern to apply skills in finite element analysis, CATIA, SolidWorks.",Mechanical Engineer
"Sales Intern with 2 years of experience. Education: B.Tech in Computer Engineering. Skills: negotiation, Salesforce, lead generation, cold calling, market research, CRM. Experience: built client relationships; generated new leads; managed key accounts. Looking for opportunities as a sales intern to apply skills in negotiation, Salesforce, lead generation.",Sales
"Digital Marketing Executive with 1 years of experience. Education: B.Tech in Computer Engineering. Skills: Google Analytics, SEO, social media marketing, brand strategy, copywriting, content marketing. Experience: wrote marketing copy; ran paid ad campaigns; increased organic traffic. Looking for opportunities as a digital marketing executive to apply skills in Google Analytics, SEO, social media marketing.",Marketing
"Cloud Engineer with 2 years of experience. Education: B.Tech in Mechanical Engineering. Skills: Terraform, Docker, CI/CD, Kubernetes, Ansible, Linux. Experience: set up monitoring and alerting; managed Kubernetes clusters; automated infrastructure with Terraform. Looking for opportunities as a cloud engineer to apply skills in Terraform, Docker, CI/CD.",DevOps Engineer
"Backend Engineer with 2 years of experience. Education: M.Tech in Data Science. Skills: unit testing, Algorithms, Java, C++, Data Structures, Git. Experience: optimized algorithms; built microservices; designed scalable systems. Looking for opportunities as a backend engineer to apply skills in unit testing, Algorithms, Java.",Software Engineer
"ML Intern with 2 years of experience. Education: B.E. in Information Technology. Skills: SQL, Tableau, pandas, scikit-learn, feature engineering, deep learning. Experience: ran statistical experiments; designed dashboards; analyzed large datasets. Looking for opportunities as a ml intern to apply skills in SQL, Tableau, pandas.",Data Scientist
"Data Scientist with 1 years of experience. Education: B.Sc in Computer Science. Skills: feature engineering, NLP, TensorFlow, statistics, NumPy, Power BI. Experience: built predictive models; trained classification models; analyzed large datasets. Looking for opportunities as a data scientist to apply skills in feature engineering, NLP, TensorFlow.",Data Scientist
"Java Intern with 2 years of experience. Education: MBA. Skills: Microservices, multithreading, Kafka, Maven, REST APIs, Java. Experience: optimized database queries; resolved production bugs; wrote JUnit test cases. Looking for opportunities as a java intern to apply skills in Microservices, multithreading, Kafka.",Java Developer
"ML Intern with 4 years of experience. Education: M.Tech in Data Science. Skills: statistics, TensorFlow, NumPy, SQL, pandas, scikit-learn. Experience: trained classification models; cleaned and preprocessed data; analyzed large datasets. Looking for opportunities as a ml intern to apply skills in statistics, TensorFlow, NumPy.",Data Scientist
"Software Engineer with 1 years of experience. Education: Diploma in Engineering. Skills: Kubernetes, Java, unit testing, OOP, Algorithms, system design. Experience: wrote unit tests; optimized algorithms; debugged production issues. Looking for opportunities as a software engineer to apply skills in Kubernetes, Java, unit testing.",Software Engineer
"Marketing Intern with 2 years of experience. Education: B.E. in Information Technology. Skills: market research, email campaigns, Google Ads, Google Analytics, brand strategy, SEO. Experience: analyzed campaign performance; wrote marketing copy; ran paid ad campaigns. Looking for opportunities as a marketing intern to apply skills in market research, email campaigns, Google Ads.",Marketing
"HR Executive with 4 years of experience. Education: M.Tech in Data Science. Skills: conflict resolution, labor law, talent acquisition, performance management, employee engagement, payroll. Experience: resolved workplace conflicts; organized training programs; managed end-to-end recruitment. Looking for opportunities as a hr executive to apply skills in conflict resolution, labor law, talent acquisition.",HR
"Sales Executive with 4 years of experience. Education: B.Sc in Computer Science. Skills: negotiation, target achievement, cold calling, Salesforce, client relationship management, market research. Experience: managed key accounts; exceeded quarterly sales targets; generated new leads. Looking for opportunities as a sales executive to apply skills in negotiation, target achievement, cold calling.",Sales
"Web Developer Intern with 3 years of experience. Education: B.E. in Information Technology. Skills: React, TypeScript, Express.js, REST APIs, Node.js, MongoDB. Experience: developed REST APIs; fixed cross-browser bugs; built responsive websites. Looking for opportunities as a web developer intern to apply skills in React, TypeScript, Express.js.",Web Developer
"HR Generalist with 5 years of experience. Education: B.Tech in Mechanical Engineering. Skills: recruitment, conflict resolution, HRIS, training and development, talent acquisition, performance management. Experience: resolved workplace conflicts; organized training programs; conducted employee onboarding. Looking for opportunities as a hr generalist to apply skills in recruitment, conflict resolution, HRIS.",HR
"Software Engineer with 5 years of experience. Education: B.Tech in Mechanical Engineering. Skills: system design, unit testing, Git, Algorithms, multithreading, Java. Experience: built microservices; reviewed pull requests; debugged production issues. Looking for opportunities as a software engineer to apply skills in system design, unit testing, Git.",Software Engineer
"Backend Developer with 0 years of experience. Education: B.E. in Information Technology. Skills: Maven, MySQL, JUnit, Microservices, REST APIs, Hibernate. Experience: resolved production bugs; implemented microservices; optimized database queries. Looking for opportunities as a backend developer to apply skills in Maven, MySQL, JUnit.",Java Developer
"Digital Marketing Executive with 1 years of experience. Education: Diploma in Engineering. Skills: email campaigns, content marketing, SEO, market research, Google Analytics, Google Ads. Experience: grew social media following; increased organic traffic; ran paid ad campaigns. Looking for opportunities as a digital marketing executive to apply skills in email campaigns, content marketing, SEO.",Marketing
"Mechanical Design Engineer with 2 years of experience. Education: B.Tech in Mechanical Engineering. Skills: AutoCAD, CATIA, CNC machining, quality control, finite element analysis, manufacturing processes. Experience: performed stress analysis; reduced material waste; designed mechanical components. Looking for opportunities as a mechanical design engineer to apply skills in AutoCAD, CATIA, CNC machining.",Mechanical Engineer
"Social Media Manager with 3 years of experience. Education: B.Tech in Mechanical Engineering. Skills: content marketing, SEO, Google Analytics, copywriting, market research, email campaigns. Experience: wrote marketing copy; increased organic traffic; analyzed campaign performance. Looking for opportunities as a social media manager to apply skills in content marketing, SEO, Google Analytics.",Marketing
"Mechanical Design Engineer with 2 years of experience. Education: B.Sc in Computer Science. Skills: manufacturing processes, quality control, thermodynamics, finite element analysis, CATIA, CNC machining. Experience: designed mechanical components; created CAD models; performed stress analysis. Looking for opportunities as a mechanical design engineer to apply skills in manufacturing processes, quality control, thermodynamics.",Mechanical Engineer
"DevOps Engineer with 3 years of experience. Education: MBA. Skills: Linux, Jenkins, AWS, Ansible, monitoring, Terraform. Experience: built CI/CD pipelines; reduced deployment time; managed Kubernetes clusters. Looking for opportunities as a devops engineer to apply skills in Linux, Jenkins, AWS.",DevOps Engineer
"DevOps Intern with 2 years of experience. Education: Diploma in Engineering. Skills: Docker, Linux, Ansible, AWS, Jenkins, Terraform. Experience: built CI/CD pipelines; reduced deployment time; managed Kubernetes clusters. Looking for opportunities as a devops intern to apply skills in Docker, Linux, Ansible.",DevOps Engineer
"Mechanical Design Engineer with 2 years of experience. Education: M.Tech in Data Science. Skills: SolidWorks, thermodynamics, AutoCAD, manufacturing processes, quality control, CATIA. Experience: created CAD models; reduced material waste; supervised production lines. Looking for opportunities as a mechanical design engineer to apply skills in SolidWorks, thermodynamics, AutoCAD.",Mechanical Engineer
"Data Analyst with 2 years of experience. Education: MBA. Skills: TensorFlow, NumPy, scikit-learn, feature engineering, statistics, deep learning. Experience: trained classification models; ran statistical experiments; designed dashboards. Looking for opportunities as a data analyst to apply skills in TensorFlow, NumPy, scikit-learn.",Data Scientist
"Java Intern with 2 years of experience. Education: M.Tech in Data Science. Skills: Java, JUnit, Hibernate, MySQL, Spring Boot, Microservices. Experience: built REST APIs using Spring Boot; optimized database queries; wrote JUnit test cases. Looking for opportunities as a java intern to apply skills in Java, JUnit, Hibernate.",Java Developer
"HR Generalist with 5 years of experience. Education: M.Tech in Data Science. Skills: performance management, employee engagement, onboarding, talent acquisition, HRIS, payroll. Experience: handled payroll processing; conducted employee onboarding; resolved workplace conflicts. Looking for opportunities as a hr generalist to apply skills in performance management, employee engagement, onboarding.",HR
"Business Analyst with 5 years of experience. Education: B.E. in Information Technology. Skills: SWOT analysis, Power BI, JIRA, SQL, business process modeling, stakeholder management. Experience: coordinated with cross-functional teams; gathered business requirements; analyzed KPIs. Looking for opportunities as a business analyst to apply skills in SWOT analysis, Power BI, JIRA.",Business Analyst
"Talent Acquisition Specialist with 3 years of experience. Education: B.Tech in Computer Engineering. Skills: labor law, training and development, talent acquisition, conflict resolution, HRIS, performance management. Experience: handled payroll processing; resolved workplace conflicts; managed end-to-end recruitment. Looking for opportunities as a talent acquisition specialist to apply skills in labor law, training and development, talent acquisition.",HR
"Marketing Intern with 2 years of experience. Education: B.Tech in Mechanical Engineering. Skills: content marketing, SEO, Google Analytics, social media marketing, Google Ads, market research. Experience: increased organic traffic; ran paid ad campaigns; grew social media following. Looking for opportunities as a marketing intern to apply skills in content marketing, SEO, Google Analytics.",Marketing
"DevOps Intern with 4 years of experience. Education: MBA. Skills: Linux, Kubernetes, Docker, monitoring, Terraform, AWS. Experience: automated infrastructure with Terraform; built CI/CD pipelines; reduced deployment time. Looking for opportunities as a devops intern to apply skills in Linux, Kubernetes, Docker.",DevOps Engineer
"Full Stack Developer with 3 years of experience. Education: MBA. Skills: Git, Node.js, JavaScript, Express.js, CSS, MongoDB. Experience: built responsive websites; integrated third-party APIs; optimized page load speed. Looking for opportunities as a full stack developer to apply skills in Git, Node.js, JavaScript.",Web Developer
"Data Analyst with 0 years of experience. Education: B.Tech in Computer Engineering. Skills: SQL, Tableau, NumPy, deep learning, TensorFlow, Power BI. Experience: cleaned and preprocessed data; designed dashboards; ran statistical experiments. Looking for opportunities as a data analyst to apply skills in SQL, Tableau, NumPy.",Data Scientist
"Cloud Engineer with 3 years of experience. Education: Diploma in Engineering. Skills: Docker, Terraform, Ansible, shell scripting, AWS, CI/CD. Experience: set up monitoring and alerting; reduced deployment time; automated infrastructure with Terraform. Looking for opportunities as a cloud engineer to apply skills in Docker, Terraform, Ansible.",DevOps Engineer
"Talent Acquisition Specialist with 5 years of experience. Education: Diploma in Engineering. Skills: conflict resolution, employee engagement, onboarding, HRIS, training and development, recruitment. Experience: resolved workplace conflicts; conducted employee onboarding; organized training programs. Looking for opportunities as a talent acquisition specialist to apply skills in conflict resolution, employee engagement, onboarding.",HR
"Java Intern with 0 years of experience. Education: M.Tech in Data Science. Skills: Spring Boot, Microservices, Maven, multithreading, REST APIs, JUnit. Experience: resolved production bugs; optimized database queries; implemented microservices. Looking for opportunities as a java intern to apply skills in Spring Boot, Microservices, Maven.",Java Developer
"Backend Developer with 3 years of experience. Education: B.Tech in Mechanical Engineering. Skills: Java, Maven, JUnit, MySQL, REST APIs, Spring Boot. Experience: wrote JUnit test cases; resolved production bugs; optimized database queries. Looking for opportunities as a backend developer to apply skills in Java, Maven, JUnit.",Java Developer
"Frontend Developer with 3 years of experience. Education: M.Tech in Data Science. Skills: React, CSS, MongoDB, responsive design, REST APIs, Node.js. Experience: implemented UI components; fixed cross-browser bugs; built responsive websites. Looking for opportunities as a frontend developer to apply skills in React, CSS, MongoDB.",Web Developer
"DevOps Intern with 5 years of experience. Education: Diploma in Engineering. Skills: CI/CD, Jenkins, Linux, Kubernetes, monitoring, shell scripting. Experience: automated infrastructure with Terraform; reduced deployment time; set up monitoring and alerting. Looking for opportunities as a devops intern to apply skills in CI/CD, Jenkins, Linux.",DevOps Engineer
"Frontend Developer with 3 years of experience. Education: M.Tech in Data Science. Skills: REST APIs, MongoDB, React, Node.js, JavaScript, Redux. Experience: fixed cross-browser bugs; built responsive websites; implemented UI components. Looking for opportunities as a frontend developer to apply skills in REST APIs, MongoDB, React.",Web Developer
"Cloud Engineer with 5 years of experience. Education: MBA. Skills: Jenkins, monitoring, AWS, Ansible, Docker, Linux. Experience: managed Kubernetes clusters; reduced deployment time; set up monitoring and alerting. Looking for opportunities as a cloud engineer to apply skills in Jenkins, monitoring, AWS.",DevOps Engineer
"ML Intern with 2 years of experience. Education: MBA. Skills: feature engineering, deep learning, Power BI, pandas, A/B testing, NumPy. Experience: ran statistical experiments; analyzed large datasets; cleaned and preprocessed data. Looking for opportunities as a ml intern to apply skills in feature engineering, deep learning, Power BI.",Data Scientist
"Software Engineer with 0 years of experience. Education: B.E. in Information Technology. Skills: Algorithms, Git, Docker, system design, Python, C++. Experience: optimized algorithms; reviewed pull requests; wrote unit tests. Looking for opportunities as a software engineer to apply skills in Algorithms, Git, Docker.",Software Engineer
"SDE Intern with 5 years of experience. Education: M.Tech in Data Science. Skills: unit testing, Git, C++, OOP, Kubernetes, Algorithms. Experience: reviewed pull requests; designed scalable systems; wrote unit tests. Looking for opportunities as a sde intern to apply skills in unit testing, Git, C++.",Software Engineer
"Digital Marketing Executive with 5 years of experience. Education: B.Sc in Computer Science. Skills: social media marketing, Google Analytics, brand strategy, market research, content marketing, Google Ads. Experience: ran paid ad campaigns; increased organic traffic; grew social media following. Looking for opportunities as a digital marketing executive to apply skills in social media marketing, Google Analytics, brand strategy.",Marketing
"Digital Marketing Executive with 4 years of experience. Education: B.E. in Information Technology. Skills: content marketing, Google Ads, Google Analytics, social media marketing, market research, copywriting. Experience: grew social media following; increased organic traffic; wrote marketing copy. Looking for opportunities as a digital marketing executive to apply skills in content marketing, Google Ads, Google Analytics.",Marketing
"Manufacturing Engineer with 0 years of experience. Education: B.Tech in Computer Engineering. Skills: thermodynamics, AutoCAD, SolidWorks, manufacturing processes, CATIA, quality control. Experience: designed mechanical components; created CAD models; supervised production lines. Looking for opportunities as a manufacturing engineer to apply skills in thermodynamics, AutoCAD, SolidWorks.",Mechanical Engineer
"HR Executive with 3 years of experience. Education: M.Tech in Data Science. Skills: HRIS, onboarding, employee engagement, labor law, payroll, training and development. Experience: conducted employee onboarding; organized training programs; managed end-to-end recruitment. Looking for opportunities as a hr executive to apply skills in HRIS, onboarding, employee engagement.",HR
"Frontend Developer with 5 years of experience. Education: B.Tech in Mechanical Engineering. Skills: REST APIs, JavaScript, HTML, Node.js, Express.js, responsive design. Experience: built responsive websites; implemented UI components; integrated third-party APIs. Looking for opportunities as a frontend developer to apply skills in REST APIs, JavaScript, HTML.",Web Developer
"Backend Developer with 4 years of experience. Education: Diploma in Engineering. Skills: Microservices, Maven, Kafka, JUnit, Hibernate, REST APIs. Experience: implemented microservices; optimized database queries; wrote JUnit test cases. Looking for opportunities as a backend developer to apply skills in Microservices, Maven, Kafka.",Java Developer
"Cloud Engineer with 1 years of experience. Education: M.Tech in Data Science. Skills: Linux, Docker, Jenkins, monitoring, Ansible, Terraform. Experience: built CI/CD pipelines; set up monitoring and alerting; reduced deployment time. Looking for opportunities as a cloud engineer to apply skills in Linux, Docker, Jenkins.",DevOps Engineer
"Java Developer with 4 years of experience. Education: Diploma in Engineering. Skills: Hibernate, Java, Maven, JUnit, Microservices, Kafka. Experience: optimized database queries; implemented microservices; wrote JUnit test cases. Looking for opportunities as a java developer to apply skills in Hibernate, Java, Maven.",Java Developer
"Cloud Engineer with 5 years of experience. Education: B.E. in Information Technology. Skills: Terraform, shell scripting, Jenkins, monitoring, Linux, Kubernetes. Experience: built CI/CD pipelines; reduced deployment time; set up monitoring and alerting. Looking for opportunities as a cloud engineer to apply skills in Terraform, shell scripting, Jenkins.",DevOps Engineer
"Marketing Intern with 2 years of experience. Education: M.Tech in Data Science. Skills: social media marketing, market research, Google Analytics, Google Ads, brand strategy, email campaigns. Experience: analyzed campaign performance; grew social media following; increased organic traffic. Looking for opportunities as a marketing intern to apply skills in social media marketing, market research, Google Analytics.",Marketing
"Mechanical Intern with 2 years of experience. Education: B.Sc in Computer Science. Skills: GD&T, thermodynamics, AutoCAD, quality control, manufacturing processes, SolidWorks. Experience: performed stress analysis; reduced material waste; supervised production lines. Looking for opportunities as a mechanical intern to apply skills in GD&T, thermodynamics, AutoCAD.",Mechanical Engineer
"HR Executive with 3 years of experience. Education: B.Sc in Computer Science. Skills: talent acquisition, onboarding, performance management, HRIS, employee engagement, recruitment. Experience: handled payroll processing; resolved workplace conflicts; managed end-to-end recruitment. Looking for opportunities as a hr executive to apply skills in talent acquisition, onboarding, performance management.",HR
"Mechanical Intern with 3 years of experience. Education: B.E. in Information Technology. Skills: CATIA, CNC machining, manufacturing processes, GD&T, thermodynamics, SolidWorks. Experience: supervised production lines; performed stress analysis; reduced material waste. Looking for opportunities as a mechanical intern to apply skills in CATIA, CNC machining, manufacturing processes.",Mechanical Engineer
"HR Executive with 5 years of experience. Education: B.Tech in Mechanical Engineering. Skills: employee engagement, labor law, talent acquisition, HRIS, recruitment, conflict resolution. Experience: managed end-to-end recruitment; handled payroll processing; resolved workplace conflicts. Looking for opportunities as a hr executive to apply skills in employee engagement, labor law, talent acquisition.",HR
"Digital Marketing Executive with 1 years of experience. Education: B.Tech in Computer Engineering. Skills: brand strategy, social media marketing, copywriting, Google Ads, content marketing, market research. Experience: analyzed campaign performance; wrote marketing copy; ran paid ad campaigns. Looking for opportunities as a digital marketing executive to apply skills in brand strategy, social media marketing, copywriting.",Marketing
"Java Intern with 4 years of experience. Education: MBA. Skills: multithreading, Hibernate, Spring Boot, Maven, Microservices, Kafka. Experience: built REST APIs using Spring Boot; implemented microservices; wrote JUnit test cases. Looking for opportunities as a java intern to apply skills in multithreading, Hibernate, Spring Boot.",Java Developer
"Mechanical Intern with 1 years of experience. Education: B.Tech in Mechanical Engineering. Skills: CATIA, manufacturing processes, GD&T, CNC machining, SolidWorks, quality control. Experience: designed mechanical components; created CAD models; performed stress analysis. Looking for opportunities as a mechanical intern to apply skills in CATIA, manufacturing processes, GD&T.",Mechanical Engineer
"ML Intern with 1 years of experience. Education: MBA. Skills: deep learning, A/B testing, Power BI, statistics, SQL, TensorFlow. Experience: analyzed large datasets; trained classification models; cleaned and preprocessed data. Looking for opportunities as a ml intern to apply skills in deep learning, A/B testing, Power BI.",Data Scientist
"Business Analyst Intern with 2 years of experience. Education: Diploma in Engineering. Skills: business process modeling, Power BI, requirements gathering, stakeholder management, Excel, SQL. Experience: coordinated with cross-functional teams; presented insights to stakeholders; created process flow diagrams. Looking for opportunities as a business analyst intern to apply skills in business process modeling, Power BI, requirements gathering.",Business Analyst
"Business Analyst with 3 years of experience. Education: B.Sc in Computer Science. Skills: Power BI, stakeholder management, business process modeling, Excel, requirements gathering, JIRA. Experience: created process flow diagrams; coordinated with cross-functional teams; gathered business requirements. Looking for opportunities as a business analyst to apply skills in Power BI, stakeholder management, business process modeling.",Business Analyst
"Sales Intern with 3 years of experience. Education: MBA. Skills: client relationship management, market research, CRM, lead generation, Salesforce, negotiation. Experience: built client relationships; managed key accounts; negotiated contracts. Looking for opportunities as a sales intern to apply skills in client relationship management, market research, CRM.",Sales
"Software Engineer with 0 years of experience. Education: B.Tech in Mechanical Engineering. Skills: unit testing, C++, Data Structures, Kubernetes, Algorithms, Git. Experience: designed scalable systems; wrote unit tests; optimized algorithms. Looking for opportunities as a software engineer to apply skills in unit testing, C++, Data Structures.",Software Engineer
"Backend Engineer with 0 years of experience. Education: B.Sc in Computer Science. Skills: Java, Algorithms, multithreading, C++, OOP, Python. Experience: built microservices; debugged production issues; reviewed pull requests. Looking for opportunities as a backend engineer to apply skills in Java, Algorithms, multithreading.",Software Engineer
"Java Intern with 1 years of experience. Education: B.Sc in Computer Science. Skills: Kafka, MySQL, REST APIs, multithreading, Microservices, Spring Boot. Experience: wrote JUnit test cases; implemented microservices; resolved production bugs. Looking for opportunities as a java intern to apply skills in Kafka, MySQL, REST APIs.",Java Developer
"Mechanical Design Engineer with 0 years of experience. Education: Diploma in Engineering. Skills: GD&T, quality control, finite element analysis, SolidWorks, CNC machining, CATIA. Experience: supervised production lines; performed stress analysis; created CAD models. Looking for opportunities as a mechanical design engineer to apply skills in GD&T, quality control, finite element analysis.",Mechanical Engineer
"DevOps Intern with 0 years of experience. Education: Diploma in Engineering. Skills: monitoring, shell scripting, Docker, Linux, CI/CD, Terraform. Experience: managed Kubernetes clusters; built CI/CD pipelines; automated infrastructure with Terraform. Looking for opportunities as a devops intern to apply skills in monitoring, shell scripting, Docker.",DevOps Engineer
"Social Media Manager with 0 years of experience. Education: MBA. Skills: Google Analytics, SEO, email campaigns, Google Ads, brand strategy, content marketing. Experience: increased organic traffic; wrote marketing copy; grew social media following. Looking for opportunities as a social media manager to apply skills in Google Analytics, SEO, email campaigns.",Marketing
"Java Intern with 1 years of experience. Education: MBA. Skills: JUnit, Kafka, Maven, MySQL, Java, multithreading. Experience: optimized database queries; implemented microservices; resolved production bugs. Looking for opportunities as a java intern to apply skills in JUnit, Kafka, Maven.",Java Developer
"Digital Marketing Executive with 0 years of experience. Education: MBA. Skills: email campaigns, content marketing, copywriting, Google Analytics, SEO, Google Ads. Experience: grew social media following; analyzed campaign performance; increased organic traffic. Looking for opportunities as a digital marketing executive to apply skills in email campaigns, content marketing, copywriting.",Marketing
"Sales Intern with 4 years of experience. Education: B.E. in Information Technology. Skills: market research, Salesforce, lead generation, negotiation, cold calling, client relationship management. Experience: negotiated contracts; generated new leads; exceeded quarterly sales targets. Looking for opportunities as a sales intern to apply skills in market research, Salesforce, lead generation.",Sales
"Backend Developer with 3 years of experience. Education: M.Tech in Data Science. Skills: REST APIs, Spring Boot, Java, Kafka, Maven, Hibernate. Experience: built REST APIs using Spring Boot; wrote JUnit test cases; resolved production bugs. Looking for opportunities as a backend developer to apply skills in REST APIs, Spring Boot, Java.",Java Developer
"Business Analyst with 2 years of experience. Education: MBA. Skills: requirements gathering, JIRA, SQL, Power BI, business process modeling, Excel. Experience: coordinated with cross-functional teams; gathered business requirements; analyzed KPIs. Looking for opportunities as a business analyst to apply skills in requirements gathering, JIRA, SQL.",Business Analyst
"Social Media Manager with 0 years of experience. Education: B.Sc in Computer Science. Skills: social media marketing, brand strategy, market research, Google Ads, SEO, Google Analytics. Experience: ran paid ad campaigns; wrote marketing copy; increased organic traffic. Looking for opportunities as a social media manager to apply skills in social media marketing, brand strategy, market research.",Marketing
"Full Stack Developer with 5 years of experience. Education: B.Tech in Mechanical Engineering. Skills: REST APIs, JavaScript, responsive design, CSS, Redux, Express.js. Experience: built responsive websites; integrated third-party APIs; fixed cross-browser bugs. Looking for opportunities as a full stack developer to apply skills in REST APIs, JavaScript, responsive design.",Web Developer
"Web Developer Intern with 0 years of experience. Education: M.Tech in Data Science. Skills: Redux, TypeScript, React, REST APIs, MongoDB, HTML. Experience: fixed cross-browser bugs; optimized page load speed; integrated third-party APIs. Looking for opportunities as a web developer intern to apply skills in Redux, TypeScript, React.",Web Developer
"Data Scientist with 0 years of experience. Education: MBA. Skills: deep learning, statistics, Tableau, TensorFlow, NLP, SQL. Experience: built predictive models; trained classification models; designed dashboards. Looking for opportunities as a data scientist to apply skills in deep learning, statistics, Tableau.",Data Scientist
"Sales Executive with 2 years of experience. Education: MBA. Skills: client relationship management, Salesforce, CRM, cold calling, lead generation, target achievement. Experience: exceeded quarterly sales targets; built client relationships; negotiated contracts. Looking for opportunities as a sales executive to apply skills in client relationship management, Salesforce, CRM.",Sales
"Data Scientist with 5 years of experience. Education: MBA. Skills: deep learning, machine learning, SQL, Power BI, feature engineering, data visualization. Experience: cleaned and preprocessed data; built predictive models; ran statistical experiments. Looking for opportunities as a data scientist to apply skills in deep learning, machine learning, SQL.",Data Scientist
